learning_rate,epsilon_decay,target_update_freq,avg_train_reward,avg_test_reward
0.001,0.995,5.0,-7.7399999999999975,-9.299999999999999
0.001,0.995,10.0,-7.499999999999998,-4.539999999999998
0.001,0.995,15.0,-7.979999999999999,-9.299999999999999
0.001,0.999,5.0,-8.219999999999999,-0.2199999999999987
0.001,0.999,10.0,-7.499999999999998,-0.8999999999999986
0.001,0.999,15.0,-7.139999999999998,1.1000000000000014
0.005,0.995,5.0,-6.7799999999999985,-9.299999999999999
0.005,0.995,10.0,-7.379999999999998,-9.299999999999999
0.005,0.995,15.0,-7.619999999999999,-9.299999999999999
0.005,0.999,5.0,-7.499999999999997,-0.8999999999999986
0.005,0.999,10.0,-7.859999999999998,-9.299999999999999
0.005,0.999,15.0,-7.979999999999999,-0.8999999999999986
